node1,node2,bwd,delay,pkloss
1,3,99999.820453,6.514549,0.0
1,7,99999.820453,10.996938,0.0
1,16,99999.856314,7.30145,0.0
2,4,99999.820453,11.698842,0.0
2,7,99999.820453,21.344423,0.0
2,12,99999.82046,3.547072,0.0
2,13,99999.820426,31.85451,0.0
2,18,24999.820386,5.787373,0.0
2,23,24999.784463,3.225327,0.0
3,10,99999.820467,4.582047,0.0
3,11,24999.820346,23.528457,0.0
3,14,1549.820467,5.331874,0.0
3,21,99999.82042,4.888535,0.0
4,16,99999.856314,4.849553,0.0
5,8,24999.8204,8.31449,0.0
5,16,24999.856293,4.209876,0.0
6,7,1549.856363,27.347088,0.0
6,19,1549.856239,0.0,0.0
7,17,99999.85632,16.330481,0.0
7,19,24999.856239,0.0,0.0
7,21,99999.82042,4.954457,0.0
8,9,24999.820386,4.140139,0.0
9,15,24999.820359,13.550043,0.0
9,16,99999.820359,5.306959,0.0
10,11,24999.820326,18.01002,0.0
10,12,99999.820467,5.53906,0.0
10,16,99999.8204,5.090952,0.0
10,17,99999.85633,3.937602,0.0
12,22,99999.820406,2.245665,0.0
13,14,1549.82044,16.578674,0.0
13,17,99999.856298,6.365538,0.0
13,19,24999.784326,0.0,0.0
15,20,24999.820366,6.773472,0.0
17,20,99999.856293,15.611529,0.0
17,23,24999.820339,2.795458,0.0
18,21,24999.820359,28.990507,0.0
20,22,24999.820366,4.46701,0.0
